company,status,total_questions,total_words,avg_response_length,min_response_length,max_response_length
relationship-hero-wittythumbs,Successful,3,705,235.0,174,276
flex,Successful,20,2017,100.85,8,392
makegameswithus-make-school,Successful,14,1378,98.42857142857143,32,231
the-muse,Successful,24,2155,89.79166666666667,0,326
kash,Successful,20,1526,76.3,7,147
apptimize,Successful,17,1281,75.3529411764706,1,118
seeing-interactive-own-local,Successful,18,1333,74.05555555555556,19,171
proxino-taazr,Successful,11,801,72.81818181818181,15,147
one-month-rails,Successful,23,1644,71.47826086956522,1,232
sketchdeck,Successful,18,1182,65.66666666666667,1,183
simple-habit,Successful,14,892,63.714285714285715,6,147
prolific,Successful,32,1995,62.34375,0,255
standard-treasury,Successful,20,1228,61.4,1,219
bxblue,Successful,25,1469,58.76,1,266
lollipuff,Successful,26,1523,58.57692307692308,0,164
mimir,Successful,20,1139,56.95,1,184
80000-hours,Successful,21,1144,54.476190476190474,1,237
dropbox,Successful,19,1027,54.05263157894737,1,214
openphone,Successful,27,1431,53.0,0,229
slite,Successful,22,1091,49.59090909090909,0,180
athletenet-familyleaf,Successful,23,1138,49.47826086956522,1,156
supernote-metlo,Successful,27,1312,48.592592592592595,1,317
mixpanel,Successful,19,887,46.68421052631579,1,102
cruise,Successful,24,1111,46.291666666666664,1,201
dendron,Successful,24,1106,46.083333333333336,0,170
magicbell,Successful,24,1015,42.291666666666664,0,141
courier,Successful,30,1034,34.46666666666667,0,162
gitlab,Successful,22,753,34.22727272727273,1,159
derivative-d-shotput,Successful,25,815,32.6,0,123
goodly,Successful,38,1196,31.473684210526315,0,256
virtually,Successful,30,927,30.9,0,179
inevent,Successful,39,904,23.17948717948718,0,129
paystack,Successful,28,629,22.464285714285715,1,172
athens-research,Successful,26,292,11.23076923076923,0,60
trestle,Unsuccessful,8,1259,157.375,6,247
pmalerts,Unsuccessful,18,2424,134.66666666666666,0,494
pic-ur-photo,Unsuccessful,23,2320,100.8695652173913,0,335
parsnip,Unsuccessful,30,2922,97.4,0,705
task-pigeon,Unsuccessful,39,3519,90.23076923076923,0,506
code-for-cash,Unsuccessful,38,2715,71.44736842105263,0,475
simula,Unsuccessful,32,2147,67.09375,0,375
circles,Unsuccessful,18,1152,64.0,4,136
parobyte-technologies,Unsuccessful,33,2002,60.666666666666664,1,348
learn-venue,Unsuccessful,36,2024,56.22222222222222,0,295
cred-count,Unsuccessful,39,2095,53.717948717948715,0,506
laitum,Unsuccessful,19,995,52.36842105263158,1,135
streamplate,Unsuccessful,26,1321,50.80769230769231,1,208
yogatrail,Unsuccessful,24,1117,46.541666666666664,1,162
mattermark-referly,Unsuccessful,22,981,44.59090909090909,1,203
spreadsheet-magic,Unsuccessful,27,1137,42.111111111111114,1,198
veed,Unsuccessful,32,1331,41.59375,0,152
bubblin-superbooks,Unsuccessful,27,1066,39.48148148148148,1,137
buffer,Unsuccessful,20,777,38.85,1,94
pet-story,Unsuccessful,28,965,34.464285714285715,0,145
syllble,Unsuccessful,32,1081,33.78125,1,278
employbl,Unsuccessful,28,801,28.607142857142858,0,117
swelly,Unsuccessful,31,527,17.0,0,81
