company_id,status,plural_count,singular_count,total_words,plural_rate,singular_rate,plural_to_singular_ratio
kash,Successful,88,3,1623,54.22057917436845,1.8484288354898337,29.333333333333332
mattermark-referly,Unsuccessful,23,24,1028,22.373540856031127,23.346303501945524,0.9583333333333334
parsnip,Unsuccessful,6,136,3036,1.976284584980237,44.79578392621871,0.04411764705882353
goodly,Successful,32,0,1259,25.416997617156472,0.0,inf
laitum,Unsuccessful,26,24,1003,25.922233300099702,23.928215353938185,1.0833333333333333
dendron,Successful,26,16,1139,22.8270412642669,14.04741000877963,1.625
standard-treasury,Successful,39,13,1302,29.953917050691242,9.98463901689708,3.0
lollipuff,Successful,48,22,1603,29.94385527136619,13.72426699937617,2.1818181818181817
mixpanel,Successful,39,17,924,42.20779220779221,18.3982683982684,2.2941176470588234
mimir,Successful,71,3,1180,60.16949152542373,2.542372881355932,23.666666666666668
circles,Unsuccessful,40,0,1217,32.86770747740346,0.0,inf
dropbox,Successful,3,13,1107,2.710027100271003,11.743450767841011,0.23076923076923078
swelly,Unsuccessful,12,2,533,22.5140712945591,3.75234521575985,6.0
employbl,Unsuccessful,6,37,832,7.211538461538462,44.47115384615385,0.16216216216216217
spreadsheet-magic,Unsuccessful,3,42,1231,2.437043054427295,34.118602761982125,0.07142857142857142
flex,Successful,80,28,2160,37.03703703703704,12.962962962962962,2.857142857142857
supernote-metlo,Successful,79,0,1391,56.793673616103526,0.0,inf
pet-story,Unsuccessful,25,0,988,25.303643724696357,0.0,inf
sketchdeck,Successful,49,6,1222,40.098199672667754,4.909983633387888,8.166666666666666
courier,Successful,8,24,1068,7.49063670411985,22.47191011235955,0.3333333333333333
openphone,Successful,52,4,1509,34.45990722332671,2.6507620941020544,13.0
bxblue,Successful,50,1,1515,33.003300330033,0.6600660066006601,50.0
slite,Successful,26,24,1125,23.11111111111111,21.333333333333332,1.0833333333333333
code-for-cash,Unsuccessful,68,64,2831,24.01978099611445,22.60685270222536,1.0625
trestle,Unsuccessful,2,22,1296,1.5432098765432098,16.975308641975307,0.09090909090909091
80000-hours,Successful,69,1,1245,55.42168674698795,0.8032128514056225,69.0
task-pigeon,Unsuccessful,66,133,3668,17.993456924754636,36.25954198473282,0.49624060150375937
relationship-hero-wittythumbs,Successful,23,13,735,31.292517006802726,17.687074829931973,1.7692307692307692
proxino-taazr,Successful,21,0,830,25.30120481927711,0.0,inf
seeing-interactive-own-local,Successful,60,4,1407,42.643923240938165,2.8429282160625444,15.0
yogatrail,Unsuccessful,33,4,1166,28.30188679245283,3.4305317324185247,8.25
makegameswithus-make-school,Successful,72,5,1428,50.42016806722689,3.5014005602240896,14.4
cruise,Successful,27,18,1225,22.040816326530614,14.693877551020407,1.5
prolific,Successful,87,25,2086,41.70661553211889,11.984659635666347,3.48
parobyte-technologies,Unsuccessful,69,12,2033,33.93999016232169,5.902606984751598,5.75
pmalerts,Unsuccessful,4,58,2545,1.5717092337917484,22.789783889980356,0.06896551724137931
bubblin-superbooks,Unsuccessful,52,0,1130,46.017699115044245,0.0,inf
simula,Unsuccessful,77,5,2284,33.71278458844133,2.189141856392294,15.4
inevent,Successful,58,8,945,61.37566137566137,8.465608465608467,7.25
magicbell,Successful,36,11,1069,33.67633302151544,10.28999064546305,3.272727272727273
athletenet-familyleaf,Successful,40,18,1196,33.4448160535117,15.050167224080267,2.2222222222222223
one-month-rails,Successful,10,54,1790,5.58659217877095,30.167597765363126,0.18518518518518517
athens-research,Successful,4,3,389,10.282776349614394,7.712082262210797,1.3333333333333333
the-muse,Successful,92,13,2246,40.961709706144255,5.78806767586821,7.076923076923077
streamplate,Unsuccessful,47,18,1416,33.19209039548023,12.711864406779663,2.611111111111111
virtually,Successful,34,7,1005,33.830845771144276,6.965174129353234,4.857142857142857
buffer,Unsuccessful,42,15,781,53.77720870678617,19.206145966709347,2.8
apptimize,Successful,53,0,1343,39.463886820551004,0.0,inf
derivative-d-shotput,Successful,34,0,865,39.30635838150289,0.0,inf
simple-habit,Successful,38,17,935,40.64171122994652,18.18181818181818,2.235294117647059
paystack,Successful,34,6,668,50.89820359281437,8.982035928143713,5.666666666666667
learn-venue,Unsuccessful,69,37,2105,32.7790973871734,17.577197149643705,1.864864864864865
syllble,Unsuccessful,28,19,1126,24.866785079928952,16.873889875666073,1.4736842105263157
pic-ur-photo,Unsuccessful,125,16,2452,50.97879282218597,6.525285481239805,7.8125
cred-count,Unsuccessful,44,12,2195,20.045558086560366,5.466970387243736,3.6666666666666665
veed,Unsuccessful,70,7,1402,49.928673323823105,4.9928673323823105,10.0
gitlab,Successful,36,0,792,45.45454545454545,0.0,inf
