status,length,company,question
Successful,142,kash,What is your company going to make? Please describe your product and what it does or will do.
Successful,15,kash,"Where do you live now, and where would the company be based after YC?"
Successful,101,kash,"Please tell us about an interesting project, preferably outside of class or work, that two or more of you created together. Include urls if possible."
Successful,118,kash,Please tell us in one or two sentences about something impressive that each founder has built or achieved.
Successful,79,kash,Please tell us about the time you most successfully hacked some (non-computer) system to your advantage.
Successful,37,kash,How long have the founders known one another and how did you meet? Have any of the founders not met in person?
Successful,16,kash,"If we fund you, which of the founders will commit to working exclusively (no school, no other jobs) on this project for the next year?"
Successful,48,kash,How far along are you?
Successful,21,kash,How long have each of you been working on this? How much of that has been full-time? Please explain.
Successful,39,kash,"If you have already participated or committed to participate in an incubator, ""accelerator"" or ""pre-accelerator"" program, please tell us about it."
Successful,147,kash,Why did you pick this idea to work on? Do you have domain expertise in this area? How do you know people need what you're making?
Successful,131,kash,What's new about what you're making? What substitutes do people resort to because it doesn't exist yet (or they don't know about it)?
Successful,147,kash,"Who are your competitors, and who might become competitors? Who do you fear most?"
Successful,129,kash,What do you understand about your business that other companies in it just don't get?
Successful,92,kash,How do or will you make money? How much could you make?
Successful,137,kash,"How will you get users? If your idea is the type that faces a chicken-and-egg problem in the sense that it won't be attractive to users till it has a lot of users (e.g. a marketplace, a dating site, an ad network), how will you overcome that?"
Successful,7,kash,What kind of entity and in what state or country was the entity formed?
Successful,28,kash,"Please describe the breakdown of the equity ownership in percentages among the founders, employees and any other stockholders. If there are multiple founders, be sure to give the equity ownership of each founder."
Successful,43,kash,"Who writes code, or does other technical work on your product? Was any of it done by a non-founder? Please explain."
Successful,49,kash,Please tell us something surprising or amusing that one of you has discovered.
Successful,0,goodly,"If you have a demo, what's the url? Demo can be anything that shows us how the product works. Usually that's a video or screen recording."
Successful,7,goodly,Describe what your company does in 50 characters or less.
Successful,156,goodly,What is your company going to make? Please describe your product and what it does or will do.
Successful,7,goodly,"Where do you live now, and where would the company be based after YC?"
Successful,0,goodly,Please enter the url of a 1 minute unlisted (not private) YouTube video introducing the founder(s). This video is an important part of the application. (Follow the Video Guidelines.)
Successful,28,goodly,"Please tell us about an interesting project, preferably outside of class or work, that two or more of you created together. Include urls if possible."
Successful,34,goodly,How long have the founders known one another and how did you meet? Have any of the founders not met in person?
Successful,1,goodly,Which category best applies to your company?
Successful,1,goodly,Is this application in response to a YC RFS?
Successful,1,goodly,"If yes, which one?"
Successful,64,goodly,How far along are you?
Successful,14,goodly,How long have each of you been working on this? How much of that has been full-time? Please explain.
Successful,1,goodly,Which of the following best describes your progress?
Successful,1,goodly,Are people using your product?
Successful,10,goodly,"How many active users or customers do you have? If you have some particularly valuable customers, who are they? If you're building hardware, how many units have you shipped?"
Successful,12,goodly,Anything else you would like us to know regarding your revenue or growth rate?
Successful,7,goodly,"If you are applying with the same idea as a previous batch, did anything change? If you applied with a different idea, why did you pivot and what did you learn from the last idea?"
Successful,1,goodly,"If you have already participated or committed to participate in an incubator, ""accelerator"" or ""pre-accelerator"" program, please tell us about it."
Successful,256,goodly,Why did you pick this idea to work on? Do you have domain expertise in this area? How do you know people need what you're making?
Successful,50,goodly,What's new about what you're making? What substitutes do people resort to because it doesn't exist yet (or they don't know about it)?
Successful,17,goodly,"Who are your competitors, and who might become competitors? Who do you fear most?"
Successful,62,goodly,What do you understand about your business that other companies in it just don't get?
Successful,110,goodly,How do or will you make money? How much could you make?
Successful,72,goodly,"How will you get users? If your idea is the type that faces a chicken-and-egg problem in the sense that it won't be attractive to users till it has a lot of users (e.g. a marketplace, a dating site, an ad network), how will you overcome that?"
Successful,1,goodly,"Have you incorporated, or formed any legal entity (like an LLC) yet?"
Successful,3,goodly,What kind of entity and in what state or country was the entity formed?
Successful,1,goodly,"Please describe the breakdown of the equity ownership in percentages among the founders, employees and any other stockholders. If there are multiple founders, be sure to give the equity ownership of each founder."
Successful,7,goodly,"List any investments your company has received. Include the name of the investor, the amount invested, the premoney valuation / valuation cap, and the type of security sold (convertible notes, safes or stock)."
Successful,1,goodly,How much money do you spend per month?
Successful,75,goodly,How long is your runway?
Successful,31,goodly,Please provide any other relevant information about the structure or formation of the company.
Successful,1,goodly,"Are any of the founders covered by noncompetes or intellectual property agreements that overlap with your project? If so, please explain."
Successful,7,goodly,"Who writes code, or does other technical work on your product? Was any of it done by a non-founder? Please explain."
Successful,1,goodly,Is there anything else we should know about your company?
Successful,19,goodly,"If you had any other ideas you considered applying with, please list them. One may be something we've been waiting for. Often when we fund people it's to do something they list here and not in the main application."
Successful,32,goodly,Please tell us something surprising or amusing that one of you has discovered.
Successful,92,goodly,What convinced you to apply to Y Combinator? Did someone encourage you to apply?
Successful,13,goodly,How did you hear about Y Combinator?
Successful,0,dendron,"If you have a demo, what's the url? Demo can be anything that shows us how the product works. Usually that's a video or screen recording."
Successful,4,dendron,Describe what your company does in 50 characters or less.
Successful,170,dendron,What is your company going to make? Please describe your product and what it does or will do.
Successful,0,dendron,Please enter the url of a 1 minute unlisted (not private) YouTube video introducing the founder(s). This video is an important part of the application. (Follow the Video Guidelines.)
Successful,34,dendron,Please tell us in one or two sentences about something impressive that each founder has built or achieved.
Successful,1,dendron,Which category best applies to your company?
Successful,73,dendron,How far along are you?
Successful,55,dendron,How long have each of you been working on this? How much of that has been full-time? Please explain.
Successful,1,dendron,Are people using your product?
Successful,37,dendron,"How many active users or customers do you have? If you have some particularly valuable customers, who are they? If you're building hardware, how many units have you shipped?"
Successful,1,dendron,Do you have revenue?
Successful,14,dendron,Anything else you would like us to know regarding your revenue or growth rate?
Successful,62,dendron,"If you are applying with the same idea as a previous batch, did anything change? If you applied with a different idea, why did you pivot and what did you learn from the last idea?"
Successful,98,dendron,Why did you pick this idea to work on? Do you have domain expertise in this area? How do you know people need what you're making?
Successful,167,dendron,What's new about what you're making? What substitutes do people resort to because it doesn't exist yet (or they don't know about it)?
Successful,165,dendron,"Who are your competitors, and who might become competitors? Who do you fear most?"
Successful,57,dendron,What do you understand about your business that other companies in it just don't get?
Successful,115,dendron,How do or will you make money? How much could you make?
